Thời gian,Tiêu đề,URL,Nội dung,positive,neutral,negative
2025-10-15 00:00:00,"BSR: 29.10.2025, ngày GDKHQ trả cổ tức bằng cổ phiếu (tỷ lệ 30%), thưởng cp (tỷ lệ 31,5%)",https://cafef.vn/du-lieu/BSR-2327566/bsr-29102025-ngay-gdkhq-tra-co-tuc-bang-co-phieu-ty-le-30-thuong-cp-ty-le-315.chn,,0.019945530220866203,0.9532187581062317,0.026835734024643898
2025-10-14 09:01:00,"Chốt lãi VSC, BSR, HAH... vẫn còn ấm tay, VIX quyết chi ngay 2.000 tỷ săn 'hàng nóng' mới",https://cafef.vn/chot-lai-vsc-bsr-hah-van-con-am-tay-vix-quyet-chi-ngay-2000-ty-san-hang-nong-moi-188251014090154668.chn,"Ngày 13/10, Chứng khoán VIX đã công bố kết quả kinh doanh quý 3/2025 với tổng doanh thu hoạt động đạt 3.222 tỷ đồng, tăng 482% so với cùng kỳ năm 2024. Lợi nhuận trước thuế của công ty đạt 3.048 tỷ đồng, gấp hơn 9 lần so với con số 325 tỷ đồng của quý 3/2024.
Đây là mức lợi nhuận theo quý cao nhất trong lịch sử hoạt động của VIX.
Động lực chính cho sự tăng trưởng này đến từ hoạt động tự doanh. Khoản lãi từ các tài sản tài chính (FVTPL) đạt 2.751 tỷ đồng, chiếm tới 85% tổng doanh thu.
Hoạt động này được cho là kết quả của việc VIX hiện thực hóa lợi nhuận từ các cổ phiếu trong danh mục như VSC, BSR, HAH và PC1. Lũy kế 9 tháng đầu năm 2025, VIX ghi nhận 5.116 tỷ đồng lợi nhuận trước thuế, tạm vươn lên nhóm dẫn đầu ngành.
Song song với việc chốt lời danh mục cũ, VIX dường như đã tìm thấy một cơ hội đầu tư mới. Theo nguồn tin thị trường, VIX đã đăng ký mua 2.000 tỷ đồng cổ phiếu trong đợt IPO của Chứng khoán VPBankS .
Cùng với VIX, một ""cá mập"" khác là Dragon Capital cũng đăng ký mua 50 triệu USD (tương đương 1.350 tỷ đồng). Tổng cộng, chỉ sau một ngày mở bán, các nhà đầu tư tổ chức đã đăng ký mua tới gần 6.000 tỷ đồng, tương đương gần 50% giá trị cổ phiếu chào bán.
Nếu thương vụ thành công, VPBankS sẽ trở thành khoản đầu tư cổ phiếu lớn nhất trong danh mục tự doanh của VIX, vượt qua cả giá trị đầu tư gốc vào GEX (1.587 tỷ đồng).
Sự tham gia của các tổ chức hàng đầu được xem là sự bảo chứng cho sức hấp dẫn của đợt IPO lớn nhất lịch sử ngành chứng khoán, diễn ra trong bối cảnh Việt Nam vừa được FTSE Russell nâng hạng lên thị trường mới nổi.
Trong đợt này, VPBankS chào bán 375 triệu cổ phiếu với giá 33.900 đồng/cổ phiếu, dự kiến huy động hơn 12.712 tỷ đồng. Ở mức giá này, VPBankS được định giá P/E dự phóng 2025 là 14,3 lần và P/B là 2,4 lần.
Về phía VPBankS, công ty đang cho thấy sự phát triển nhanh chóng với lợi nhuận 9 tháng đạt 3.260 tỷ đồng và dư nợ cho vay margin lập đỉnh 26.664 tỷ đồng. Nguồn vốn huy động từ IPO được kỳ vọng sẽ là động lực quan trọng để công ty thực hiện các mục tiêu tham vọng, hướng tới vị trí Top 1 thị phần cho vay margin vào năm 2030.",0.9805966308436442,0.0184295159561361,0.0009739032580078
2025-10-09 00:00:00,BSR: CBTT phát hành cổ phiếu để trả cổ tức và tăng vốn cổ phần từ NVCSH,https://cafef.vn/du-lieu/BSR-2314047/bsr-cbtt-phat-hanh-co-phieu-de-tra-co-tuc-va-tang-von-co-phan-tu-nvcsh.chn,,0.7649839520454407,0.2294321358203888,0.0055839200504124165
2025-10-08 00:00:00,BSR: CBTT giao dịch với người có liên quan,https://cafef.vn/du-lieu/BSR-2312639/bsr-cbtt-giao-dich-voi-nguoi-co-lien-quan.chn,,0.9576910138130188,0.03893815353512764,0.003370866412296891
2025-10-06 10:53:00,"Chưa từng có: CEO bản AI 3D của 'đại gia' lọc hoá dầu 83.000 tỷ Việt Nam xuất hiện, trực tiếp gặp khách hàng",https://cafef.vn/chua-tung-co-ceo-ban-ai-3d-cua-dai-gia-loc-hoa-dau-83000-ty-viet-nam-xuat-hien-truc-tiep-gap-khach-hang-188251006105314951.chn,"Tại Hội nghị khách hàng 2025, CTCP Lọc hóa dầu Bình Sơn (mã chứng khoán BSR) đã sử dụng ""diễn giả AI"" là phiên bản 3D của Tổng Giám đốc Nguyễn Việt Thắng.
Phiên bản kỹ thuật số này đã trực tiếp trình bày về các thành tựu, chiến lược và tầm nhìn của BSR.
Trong bối cảnh công nghệ tại các sự kiện doanh nghiệp thường chỉ dừng lại ở các video hay slide trình chiếu, việc đưa một diễn giả AI đảm nhiệm vai trò chính cho thấy một sự chủ động nhất định trong việc tích hợp công nghệ vào hoạt động của Lọc hóa dầu Bình Sơn.
TGĐ BSR Nguyễn Việt Thắng (phiên bản AI) phát biểu và thuyết trình
Từ góc độ quản trị, đây có thể được xem là một thông điệp về cách tiếp cận của BSR.
Tổng Giám đốc BSR Nguyễn Việt Thắng chia sẻ tại hội nghị: “Trong 5 năm qua, công nghệ đã có những bước tiến vượt bậc, AI trở thành tâm điểm đổi mới của mọi doanh nghiệp. Tôi tin rằng, không chỉ BSR mà các khách hàng và đối tác của chúng tôi cũng sẽ nhanh chóng hòa mình vào dòng chảy này, cùng hướng tới một tương lai tốt đẹp hơn”.
TGĐ BSR Nguyễn Việt Thắng “phiên bản thực” phát biểu tại Hội nghị Khách hàng BSR 2025
Bên cạnh các thông điệp chiến lược, những kết quả kinh doanh chính cũng được công bố. Lũy kế từ khi vận hành, Nhà máy Lọc dầu Dung Quất đã sản xuất hơn 102,7 triệu tấn sản phẩm, đạt doanh thu 1,8 triệu tỷ đồng.
Doanh nghiệp hiện đáp ứng hơn 30% nhu cầu xăng dầu trong nước và đang tập trung nguồn lực cho Dự án Nâng cấp mở rộng Nhà máy, xác định công nghệ là giải pháp trọng tâm để phát triển bền vững.
Chốt phiên giao dịch ngày 3/10/2025, Lọc Hoá dầu Bình Sơn có vốn hoá thị trường 83.000 tỷ đồng.
Vào năm 2021, CEO của Nvidia, Jensen Huang, đã đứng trong bếp và tổ chức một buổi họp báo giới thiệu công nghệ mới nhất của công ty.
Mặc dù có 14 giây của bài phát biểu trông giống hệt phần còn lại, nhưng thực tế thì căn bếp, Jensen Huang và cả chiếc áo khoác da của ông đều được tạo ra hoàn toàn từ công nghệ máy tính.
Nvidia đã tận dụng sự kiện quan trọng này để giới thiệu các công cụ Omniverse giúp tạo ra thế giới ảo 3D. Các kỹ sư đã quét toàn bộ khuôn mặt và cơ thể của CEO để tạo ra mô hình 3D của Huang, sau đó lập trình để mô phỏng cử chỉ và biểu cảm của ông.",0.9991248916428076,0.0005522258824432,0.000322870860082
2025-10-06 00:00:00,BSR: Quyết định của HĐQT thông qua giao dịch với người có liên quan - PVOIL,https://cafef.vn/du-lieu/BSR-2311728/bsr-quyet-dinh-cua-hdqt-thong-qua-giao-dich-voi-nguoi-co-lien-quan-pvoil.chn,,0.6684681177139282,0.3050139546394348,0.02651786431670189
2025-10-02 00:00:00,BSR: Nghị quyết HĐQT triển khai phương án phát hành cổ phiếu để tăng vốn điều lệ,https://cafef.vn/du-lieu/BSR-2309260/bsr-nghi-quyet-hdqt-trien-khai-phuong-an-phat-hanh-co-phieu-de-tang-von-dieu-le.chn,,0.42894330620765686,0.5689527988433838,0.002103912178426981
2025-10-02 00:00:00,BSR: CBTT giao dịch với người có liên quan,https://cafef.vn/du-lieu/BSR-2309262/bsr-cbtt-giao-dich-voi-nguoi-co-lien-quan.chn,,0.9576910138130188,0.03893815353512764,0.003370866412296891
2025-10-01 00:00:00,BSR: Nghị quyết và Biên bản về kết quả lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025,https://cafef.vn/du-lieu/BSR-2308411/bsr-nghi-quyet-va-bien-ban-ve-ket-qua-lay-y-kien-co-dong-bang-van-ban-lan-1-nam-2025.chn,,0.756135106086731,0.23931653797626495,0.004548401106148958
2025-09-29 07:10:00,Một doanh nghiệp đóng góp gần 45% vào tổng thu ngân sách tỉnh Quảng Ngãi,https://cafef.vn/mot-doanh-nghiep-dong-gop-gan-45-vao-tong-thu-ngan-sach-tinh-quang-ngai-188250929071022319.chn,"BSR: Công ty Cổ phần Lọc Hóa dầu Bình Sơn
Theo thông tin từ UBND tỉnh Quảng Ngãi, tổng thu ngân sách nhà nước trên địa bàn tỉnh lũy kế 8 tháng ước đạt 21.487 tỷ đồng, giảm 1,2% so với cùng kỳ năm trước, đạt 57,8% dự toán tỉnh giao. Trong đó, thu nội địa ước đạt 13.051 tỷ đồng, tăng 0,6% so với cùng kỳ, đạt 53,8% dự toán năm; thu hoạt động xuất nhập khẩu ước đạt 8.413 tỷ đồng, giảm 3,5% so với cùng kỳ năm trước, đạt 65,1% dự toán năm.
Công ty cổ phần Lọc hóa dầu Bình Sơn (BSR) đóng góp 9.589 tỷ đồng, chiếm 44,63% tổng thu ngân sách của tỉnh.
Tại buổi làm việc của Ban Thường vụ Tỉnh ủy Quảng Ngãi với BSR,﻿ Bí thư Tỉnh ủy Bùi Thị Quỳnh Vân cho biết, Quảng Ngãi xem BSR là động lực để đồng hành, đầu tư phát triển.
Đối với những kiến nghị của BSR, Bí thư Tỉnh ủy giao UBND tỉnh chỉ đạo các sở, ngành, địa phương nhanh chóng tháo gỡ để doanh nghiệp triển khai đúng tiến độ đề ra.
Bí thư Tỉnh ủy yêu cầu tiếp tục tăng cường triển khai các giải pháp đảm bảo an ninh, an toàn cho Nhà máy lọc dầu Dung Quất. Trong đó, UBND tỉnh nghiên cứu phương án thu hồi 2,68ha đất tại khu vực hành lang an toàn của nhà máy để tạo quỹ đất sạch. Phấn đấu đến cuối quý II/2026, hoàn thiện các bước để đấu thầu quỹ đất sạch phục vụ việc xây dựng trụ sở làm việc mới của BSR. Tạo điều kiện thuận lợi để BSR tham gia các dự án năng lượng tái tạo.
Theo ông Nguyễn Việt Thắng - Tổng Giám đốc BSR, trong 8 tháng đầu năm, BSR đã sản xuất được 5,2 triệu tấn sản phẩm các loại, tổng doanh thu đạt 93.104 tỷ đồng. Lợi nhuận trước thuế vượt 142% so với kế hoạch quản trị. Doanh thu từ sản phẩm mới đạt 344 tỷ đồng, gấp 12 lần so với cùng kỳ năm 2024. Doanh thu từ hoạt động kinh doanh quốc tế cũng tăng trưởng tích cực, đạt 1.256 tỷ đồng, tăng 16% so với năm trước.
BSR đặt kế hoạch năm 2025 sản xuất 7,6 triệu tấn sản phẩm, doanh thu hợp nhất ước đạt 140 nghìn tỷ đồng, nộp NSNN khoảng 13.936 tỷ đồng.
Bước sang năm 2026, BSR đặt mục tiêu vận hành NMLD Dung Quất an toàn, ổn định với công suất tối ưu, đẩy mạnh công tác nghiên cứu khoa học để tạo ra các sản phẩm có giá trị gia tăng cao, thúc đẩy sản xuất, phối trộn cung ứng sản lượng tối đa xăng sinh học E10 RON95 theo lộ trình của Chính phủ.
Công ty sẽ đẩy mạnh các hoạt động kinh doanh quốc tế, không chỉ với sản phẩm tự sản xuất mà còn cả hàng hóa thương mại, hướng đến doanh thu khoảng 7.369 tỷ đồng cho hoạt động này.
Các sản phẩm mới như xăng sinh học E10 RON95, E100 được kỳ vọng sẽ tăng gấp đôi doanh thu so với năm 2025. Đồng thời, BSR cũng tiếp tục mở rộng các dịch vụ cung cấp ra bên ngoài, gia tăng phạm vi thị trường và nâng cao năng lực cạnh tranh tổng thể.",0.9444781507666952,0.0544482667084495,0.0010735660501693
